"Valuación de Inventarios","0001-AGV","DENTAL TRADE",
"Artículo","Descripción","Existencias",,,
"2615-12-19","Banda BLACK UR19 con Tubo Black Duo Roth UR Triple .022",,"31",,,
"2615-12-20","Banda BLACK UR20 con Tubo Black Duo Roth UR Triple .022",,"15",,,
"2615-12-21","Banda BLACK UR21 con Tubo Black Duo Roth UR Triple .022",,"13",,,
"2615-12-22","Banda BLACK UR22 con Tubo Black Duo Roth UR Triple .022",,"25",,,
"2615-12-23","Banda BLACK UR23 con Tubo Black Duo Roth UR Triple .022",,"29",,,
"2615-12-24","Banda BLACK UR24 con Tubo Black Duo Roth UR Triple .022",,"24",,,
"2615-12-25","Banda BLACK UR25 con Tubo Black Duo Roth UR Triple .022",,"32",,,
"2615-12-26","Banda BLACK UR26 con Tubo Black Duo Roth UR Triple .022",,"47",,,
"2615-12-27","Banda BLACK UR27 con Tubo Black Duo Roth UR Triple .022",,"46",,,
"2615-12-28","Banda BLACK UR28 con Tubo Black Duo Roth UR Triple .022",,"41",,,
"2615-12-29","Banda BLACK UR29 con Tubo Black Duo Roth UR Triple .022",,"56",,,
"2615-12-30","Banda BLACK UR30 con Tubo Black Duo Roth UR Triple .022",,"50",,,
"2615-12-31","Banda BLACK UR31 con Tubo Black Duo Roth UR Triple .022",,"57",,,
"2615-12-32","Banda BLACK UR32 con Tubo Black Duo Roth UR Triple .022",,"63",,,
"2615-22-01","Banda BLACK UL1 con Tubo Black Duo Roth UL Triple .022",,"64",,,
"2615-22-02","Banda BLACK UL2 con Tubo Black Duo Roth UL Triple .022",,"63",,,
"2615-22-03","Banda BLACK UL3 con Tubo Black Duo Roth UL Triple .022",,"68",,,
"2615-22-04","Banda BLACK UL4 con Tubo Black Duo Roth UL Triple .022",,"68",,,
"2615-22-05","Banda BLACK UL5 con Tubo Black Duo Roth UL Triple .022",,"68",,,
"2615-22-06","Banda BLACK UL6 con Tubo Black Duo Roth UL Triple .022",,"59",,,
"2615-22-07","Banda BLACK UL7 con Tubo Black Duo Roth UL Triple .022",,"68",,,
"2615-22-08","Banda BLACK UL8 con Tubo Black Duo Roth UL Triple .022",,"51",,,
"2615-22-09","Banda BLACK UL9 con Tubo Black Duo Roth UL Triple .022",,"59",,,
"2615-22-10","Banda BLACK UL10 con Tubo Black Duo Roth UL Triple .022",,"39",,,
"2615-22-11","Banda BLACK UL11 con Tubo Black Duo Roth UL Triple .022",,"38",,,
"2615-22-12","Banda BLACK UL12 con Tubo Black Duo Roth UL Triple .022",,"36",,,
"2615-22-13","Banda BLACK UL13 con Tubo Black Duo Roth UL Triple .022",,"31",,,
"2615-22-14","Banda BLACK UL14 con Tubo Black Duo Roth UL Triple .022",,"41",,,
"2615-22-15","Banda BLACK UL15 con Tubo Black Duo Roth UL Triple .022",,"34",,,
"2615-22-16","Banda BLACK UL16 con Tubo Black Duo Roth UL Triple .022",,"32",,,
"2615-22-17","Banda BLACK UL17 con Tubo Black Duo Roth UL Triple .022",,"45",,,
"2615-22-18","Banda BLACK UL18 con Tubo Black Duo Roth UL Triple .022",,"22",,,
"2615-22-19","Banda BLACK UL19 con Tubo Black Duo Roth UL Triple .022",,"28",,,
"2615-22-20","Banda BLACK UL20 con Tubo Black Duo Roth UL Triple .022",,"14",,,
"2615-22-21","Banda BLACK UL21 con Tubo Black Duo Roth UL Triple .022",,"36",,,
"2615-22-22","Banda BLACK UL22 con Tubo Black Duo Roth UL Triple .022",,"30",,,
"2615-22-23","Banda BLACK UL23 con Tubo Black Duo Roth UL Triple .022",,"20",,,
"2615-22-24","Banda BLACK UL24 con Tubo Black Duo Roth UL Triple .022",,"21",,,
"2615-22-25","Banda BLACK UL25 con Tubo Black Duo Roth UL Triple .022",,"39",,,
"2615-22-26","Banda BLACK UL26 con Tubo Black Duo Roth UL Triple .022",,"49",,,
"2615-22-27","Banda BLACK UL27 con Tubo Black Duo Roth UL Triple .022",,"43",,,
"2615-22-28","Banda BLACK UL28 con Tubo Black Duo Roth UL Triple .022",,"39",,,
"2615-22-29","Banda BLACK UL29 con Tubo Black Duo Roth UL Triple .022",,"48",,,
"2615-22-30","Banda BLACK UL30 con Tubo Black Duo Roth UL Triple .022",,"43",,,
"2615-22-31","Banda BLACK UL31 con Tubo Black Duo Roth UL Triple .022",,"49",,,
"2615-22-32","Banda BLACK UL32 con Tubo Black Duo Roth UL Triple .022",,"37",,,
"26-160-01","Banda Anatómica BLACK para Primer Molar UR1",,"223",,,
"26-160-02","Banda Anatómica BLACK para Primer Molar UR2",,"316",,,
"26-160-03","Banda Anatómica BLACK para Primer Molar UR3",,"310",,,
"26-160-04","Banda Anatómica BLACK para Primer Molar UR4",,"428",,,
"26-160-05","Banda Anatómica BLACK para Primer Molar UR5",,"611",,,
"26-160-06","Banda Anatómica BLACK para Primer Molar UR6",,"592",,,
"26-160-07","Banda Anatómica BLACK para Primer Molar UR7",,"668",,,
"26-160-08","Banda Anatómica BLACK para Primer Molar UR8",,"144",,,
"26-160-09","Banda Anatómica BLACK para Primer Molar UR9",,"594",,,
"26-160-10","Banda Anatómica BLACK para Primer Molar UR10",,"598",,,
"26-160-11","Banda Anatómica BLACK para Primer Molar UR11",,"663",,,
"26-160-12","Banda Anatómica BLACK para Primer Molar UR12",,"649",,,
"26-160-13","Banda Anatómica BLACK para Primer Molar UR13",,"760",,,
"26-160-14","Banda Anatómica BLACK para Primer Molar UR14",,"1064",,,
"26-160-15","Banda Anatómica BLACK para Primer Molar UR15",,"1289",,,
"26-160-16","Banda Anatómica BLACK para Primer Molar UR16",,"1407",,,
"26-160-17","Banda Anatómica BLACK para Primer Molar UR17",,"1521",,,
"26-160-18","Banda Anatómica BLACK para Primer Molar UR18",,"1733",,,
"26-160-19","Banda Anatómica BLACK para Primer Molar UR19",,"1595",,,
"26-160-20","Banda Anatómica BLACK para Primer Molar UR20",,"1803",,,
"26-160-21","Banda Anatómica BLACK para Primer Molar UR21",,"1589",,,
"26-160-22","Banda Anatómica BLACK para Primer Molar UR22",,"1533",,,
"26-160-23","Banda Anatómica BLACK para Primer Molar UR23",,"1401",,,
"26-160-24","Banda Anatómica BLACK para Primer Molar UR24",,"1352",,,
"26-160-25","Banda Anatómica BLACK para Primer Molar UR25",,"1015",,,
"26-160-26","Banda Anatómica BLACK para Primer Molar UR26",,"736",,,
"26-160-27","Banda Anatómica BLACK para Primer Molar UR27",,"595",,,
"26-160-28","Banda Anatómica BLACK para Primer Molar UR28",,"417",,,
"26-160-29","Banda Anatómica BLACK para Primer Molar UR29",,"347",,,
"26-160-30","Banda Anatómica BLACK para Primer Molar UR30",,"585",,,
"26-160-31","Banda Anatómica BLACK para Primer Molar UR31",,"924",,,
"26-160-32","Banda Anatómica BLACK para Primer Molar UR32",,"805",,,
"2616-32-01","Banda BLACK LR1 con Tubo Black Duo Roth LR Doble .022",,"74",,,
"2616-32-02","Banda BLACK LR2 con Tubo Black Duo Roth LR Doble .022",,"118",,,
"2616-32-03","Banda BLACK LR3 con Tubo Black Duo Roth LR Doble .022",,"80",,,
"2616-32-04","Banda BLACK LR4 con Tubo Black Duo Roth LR Doble .022",,"76",,,
"2616-32-05","Banda BLACK LR5 con Tubo Black Duo Roth LR Doble .022",,"143",,,
"2616-32-06","Banda BLACK LR6 con Tubo Black Duo Roth LR Doble .022",,"80",,,
"2616-32-07","Banda BLACK LR7 con Tubo Black Duo Roth LR Doble .022",,"66",,,
"2616-32-08","Banda BLACK LR8 con Tubo Black Duo Roth LR Doble .022",,"45",,,
"2616-32-09","Banda BLACK LR9 con Tubo Black Duo Roth LR Doble .022",,"40",,,
"2616-32-10","Banda BLACK LR10 con Tubo Black Duo Roth LR Doble .022",,"45",,,
"2616-32-11","Banda BLACK LR11 con Tubo Black Duo Roth LR Doble .022",,"49",,,
"2616-32-12","Banda BLACK LR12 con Tubo Black Duo Roth LR Doble .022",,"29",,,
"2616-32-13","Banda BLACK LR13 con Tubo Black Duo Roth LR Doble .022",,"50",,,
"2616-32-14","Banda BLACK LR14 con Tubo Black Duo Roth LR Doble .022",,"29",,,
"2616-32-15","Banda BLACK LR15 con Tubo Black Duo Roth LR Doble .022",,"25",,,
"2616-32-16","Banda BLACK LR16 con Tubo Black Duo Roth LR Doble .022",,"24",,,
"2616-32-17","Banda BLACK LR17 con Tubo Black Duo Roth LR Doble .022",,"27",,,
"2616-32-18","Banda BLACK LR18 con Tubo Black Duo Roth LR Doble .022",,"24",,,
"2616-32-19","Banda BLACK LR19 con Tubo Black Duo Roth LR Doble .022",,"22",,,
"2616-32-20","Banda BLACK LR20 con Tubo Black Duo Roth LR Doble .022",,"5",,,
"2616-32-21","Banda BLACK LR21 con Tubo Black Duo Roth LR Doble .022",,"29",,,
"2616-32-22","Banda BLACK LR22 con Tubo Black Duo Roth LR Doble .022",,"6",,,
"2616-32-23","Banda BLACK LR23 con Tubo Black Duo Roth LR Doble .022",,"27",,,
"2616-32-24","Banda BLACK LR24 con Tubo Black Duo Roth LR Doble .022",,"9",,,
"2616-32-25","Banda BLACK LR25 con Tubo Black Duo Roth LR Doble .022",,"39",,,
"2616-32-26","Banda BLACK LR26 con Tubo Black Duo Roth LR Doble .022",,"47",,,
"2616-32-27","Banda BLACK LR27 con Tubo Black Duo Roth LR Doble .022",,"49",,,
"2616-32-28","Banda BLACK LR28 con Tubo Black Duo Roth LR Doble .022",,"41",,,
"2616-32-29","Banda BLACK LR29 con Tubo Black Duo Roth LR Doble .022",,"46",,,
"2616-32-30","Banda BLACK LR30 con Tubo Black Duo Roth LR Doble .022",,"39",,,
"2616-32-31","Banda BLACK LR31 con Tubo Black Duo Roth LR Doble .022",,"74",,,
"2616-32-32","Banda BLACK LR32 con Tubo Black Duo Roth LR Doble .022",,"64",,,
"2616-42-01","Banda BLACK LL1 con Tubo Black Duo Roth LL Doble .022",,"73",,,
"2616-42-02","Banda BLACK LL2 con Tubo Black Duo Roth LL Doble .022",,"75",,,
"2616-42-03","Banda BLACK LL3 con Tubo Black Duo Roth LL Doble .022",,"84",,,
"2616-42-04","Banda BLACK LL4 con Tubo Black Duo Roth LL Doble .022",,"80",,,
"2616-42-05","Banda BLACK LL5 con Tubo Black Duo Roth LL Doble .022",,"73",,,
"2616-42-06","Banda BLACK LL6 con Tubo Black Duo Roth LL Doble .022",,"66",,,
"2616-42-07","Banda BLACK LL7 con Tubo Black Duo Roth LL Doble .022",,"65",,,
"2616-42-08","Banda BLACK LL8 con Tubo Black Duo Roth LL Doble .022",,"82",,,
"2616-42-09","Banda BLACK LL9 con Tubo Black Duo Roth LL Doble .022",,"63",,,
"2616-42-10","Banda BLACK LL10 con Tubo Black Duo Roth LL Doble .022",,"40",,,
"2616-42-11","Banda BLACK LL11 con Tubo Black Duo Roth LL Doble .022",,"49",,,
"2616-42-12","Banda BLACK LL12 con Tubo Black Duo Roth LL Doble .022",,"38",,,
"2616-42-13","Banda BLACK LL13 con Tubo Black Duo Roth LL Doble .022",,"30",,,
"2616-42-14","Banda BLACK LL14 con Tubo Black Duo Roth LL Doble .022",,"19",,,
"2616-42-15","Banda BLACK LL15 con Tubo Black Duo Roth LL Doble .022",,"24",,,
"2616-42-16","Banda BLACK LL16 con Tubo Black Duo Roth LL Doble .022",,"27",,,
"2616-42-17","Banda BLACK LL17 con Tubo Black Duo Roth LL Doble .022",,"26",,,
"2616-42-18","Banda BLACK LL18 con Tubo Black Duo Roth LL Doble .022",,"17",,,
"2616-42-19","Banda BLACK LL19 con Tubo Black Duo Roth LL Doble .022",,"36",,,
"2616-42-20","Banda BLACK LL20 con Tubo Black Duo Roth LL Doble .022",,"10",,,
"2616-42-21","Banda BLACK LL21 con Tubo Black Duo Roth LL Doble .022",,"25",,,
"2616-42-22","Banda BLACK LL22 con Tubo Black Duo Roth LL Doble .022",,"18",,,
"2616-42-23","Banda BLACK LL23 con Tubo Black Duo Roth LL Doble .022",,"44",,,
"2616-42-24","Banda BLACK LL24 con Tubo Black Duo Roth LL Doble .022",,"20",,,
"2616-42-25","Banda BLACK LL25 con Tubo Black Duo Roth LL Doble .022",,"38",,,
"2616-42-26","Banda BLACK LL26 con Tubo Black Duo Roth LL Doble .022",,"62",,,
"2616-42-27","Banda BLACK LL27 con Tubo Black Duo Roth LL Doble .022",,"67",,,
"2616-42-28","Banda BLACK LL28 con Tubo Black Duo Roth LL Doble .022",,"34",,,
"2616-42-29","Banda BLACK LL29 con Tubo Black Duo Roth LL Doble .022",,"42",,,
"2616-42-30","Banda BLACK LL30 con Tubo Black Duo Roth LL Doble .022",,"35",,,
"2616-42-31","Banda BLACK LL31 con Tubo Black Duo Roth LL Doble .022",,"51",,,
"2616-42-32","Banda BLACK LL32 con Tubo Black Duo Roth LL Doble .022",,"59",,,
"26-170-01","Banda Anatómica BLACK para Segundo Molar SUR1",,"494",,,
"26-170-02","Banda Anatómica BLACK para Segundo Molar SUR2",,"504",,,
"26-170-03","Banda Anatómica BLACK para Segundo Molar SUR3",,"474",,,
"26-170-04","Banda Anatómica BLACK para Segundo Molar SUR4",,"369",,,
"26-170-05","Banda Anatómica BLACK para Segundo Molar SUR5",,"456",,,
"26-170-06","Banda Anatómica BLACK para Segundo Molar SUR6",,"327",,,
"26-170-07","Banda Anatómica BLACK para Segundo Molar SUR7",,"185",,,
"26-170-08","Banda Anatómica BLACK para Segundo Molar SUR8",,"201",,,
"26-170-09","Banda Anatómica BLACK para Segundo Molar SUR9",,"179",,,
"26-170-10","Banda Anatómica BLACK para Segundo Molar SUR10",,"207",,,
"26-170-11","Banda Anatómica BLACK para Segundo Molar SUR11",,"154",,,
"26-170-12","Banda Anatómica BLACK para Segundo Molar SUR12",,"200",,,
"26-170-13","Banda Anatómica BLACK para Segundo Molar SUR13",,"179",,,
"26-170-14","Banda Anatómica BLACK para Segundo Molar SUR14",,"101",,,
"26-170-15","Banda Anatómica BLACK para Segundo Molar SUR15",,"38",,,
"26-170-16","Banda Anatómica BLACK para Segundo Molar SUR16",,"3",,,
"26-170-17","Banda Anatómica BLACK para Segundo Molar SUR17",,"19",,,
"26-170-18","Banda Anatómica BLACK para Segundo Molar SUR18",,"46",,,
"26-170-19","Banda Anatómica BLACK para Segundo Molar SUR19",,"57",,,
"26-170-20","Banda Anatómica BLACK para Segundo Molar SUR20",,"78",,,
"26-170-21","Banda Anatómica BLACK para Segundo Molar SUR21",,"72",,,
"26-170-22","Banda Anatómica BLACK para Segundo Molar SUR22",,"44",,,
"26-170-23","Banda Anatómica BLACK para Segundo Molar SUR23",,"143",,,
"26-170-24","Banda Anatómica BLACK para Segundo Molar SUR24",,"89",,,
"26-170-25","Banda Anatómica BLACK para Segundo Molar SUR25",,"172",,,
"26-170-26","Banda Anatómica BLACK para Segundo Molar SUR26",,"173",,,
"26-170-27","Banda Anatómica BLACK para Segundo Molar SUR27",,"238",,,
"26-170-28","Banda Anatómica BLACK para Segundo Molar SUR28",,"155",,,
"26-170-29","Banda Anatómica BLACK para Segundo Molar SUR29",,"146",,,
"26-170-30","Banda Anatómica BLACK para Segundo Molar SUR30",,"171",,,
"2617-12-01","Banda BLACK UR1 con Tubo Black Duo Roth UR Doble .022",,"59",,,
"2617-12-02","Banda BLACK UR2 con Tubo Black Duo Roth UR Doble .022",,"58",,,
"2617-12-03","Banda BLACK UR3 con Tubo Black Duo Roth UR Doble .022",,"54",,,
"2617-12-04","Banda BLACK UR4 con Tubo Black Duo Roth UR Doble .022",,"47",,,
"2617-12-05","Banda BLACK UR5 con Tubo Black Duo Roth UR Doble .022",,"32",,,
"2617-12-06","Banda BLACK UR6 con Tubo Black Duo Roth UR Doble .022",,"18",,,
"2617-12-07","Banda BLACK UR7 con Tubo Black Duo Roth UR Doble .022",,"10",,,
"2617-12-08","Banda BLACK UR8 con Tubo Black Duo Roth UR Doble .022",,"34",,,
"2617-12-09","Banda BLACK UR9 con Tubo Black Duo Roth UR Doble .022",,"23",,,
"2617-12-10","Banda BLACK UR10 con Tubo Black Duo Roth UR Doble .022",,"11",,,
"2617-12-11","Banda BLACK UR11 con Tubo Black Duo Roth UR Doble .022",,"5",,,
"2617-12-12","Banda BLACK UR12 con Tubo Black Duo Roth UR Doble .022",,"4",,,
"2617-12-13","Banda BLACK UR13 con Tubo Black Duo Roth UR Doble .022",,"5",,,
"2617-12-14","Banda BLACK UR14 con Tubo Black Duo Roth UR Doble .022",,"3",,,
"2617-12-15","Banda BLACK UR15 con Tubo Black Duo Roth UR Doble .022",,"6",,,
"2617-12-16","Banda BLACK UR16 con Tubo Black Duo Roth UR Doble .022",,"14",,,
"2617-12-17","Banda BLACK UR17 con Tubo Black Duo Roth UR Doble .022",,"8",,,
"2617-12-19","Banda BLACK UR19 con Tubo Black Duo Roth UR Doble .022",,"4",,,
"2617-12-20","Banda BLACK UR20 con Tubo Black Duo Roth UR Doble .022",,"8",,,
"2617-12-21","Banda BLACK UR21 con Tubo Black Duo Roth UR Doble .022",,"5",,,
"2617-12-22","Banda BLACK UR22 con Tubo Black Duo Roth UR Doble .022",,"6",,,
"2617-12-23","Banda BLACK UR23 con Tubo Black Duo Roth UR Doble .022",,"16",,,
"2617-12-24","Banda BLACK UR24 con Tubo Black Duo Roth UR Doble .022",,"15",,,
"2617-12-25","Banda BLACK UR25 con Tubo Black Duo Roth UR Doble .022",,"18",,,
"2617-12-26","Banda BLACK UR26 con Tubo Black Duo Roth UR Doble .022",,"17",,,
"2617-12-27","Banda BLACK UR27 con Tubo Black Duo Roth UR Doble .022",,"57",,,
"2617-12-28","Banda BLACK UR28 con Tubo Black Duo Roth UR Doble .022",,"33",,,
"2617-12-29","Banda BLACK UR29 con Tubo Black Duo Roth UR Doble .022",,"25",,,
"2617-12-30","Banda BLACK UR30 con Tubo Black Duo Roth UR Doble .022",,"42",,,
"2617-12-31","Banda BLACK UR31 con Tubo Black Duo Roth UR Doble .022",,"56",,,
"2617-12-32","Banda BLACK UR32 con Tubo Black Duo Roth UR Doble .022",,"54",,,
"2617-22-01","Banda BLACK UL1 con Tubo Black Duo Roth UL Doble .022",,"59",,,
"2617-22-02","Banda BLACK UL2 con Tubo Black Duo Roth UL Doble .022",,"58",,,
"2617-22-03","Banda BLACK UL3 con Tubo Black Duo Roth UL Doble .022",,"22",,,
"2617-22-04","Banda BLACK UL4 con Tubo Black Duo Roth UL Doble .022",,"44",,,
"2617-22-05","Banda BLACK UL5 con Tubo Black Duo Roth UL Doble .022",,"52",,,
"2617-22-06","Banda BLACK UL6 con Tubo Black Duo Roth UL Doble .022",,"48",,,
"2617-22-07","Banda BLACK UL7 con Tubo Black Duo Roth UL Doble .022",,"42",,,
"2617-22-08","Banda BLACK UL8 con Tubo Black Duo Roth UL Doble .022",,"22",,,
"2617-22-09","Banda BLACK UL9 con Tubo Black Duo Roth UL Doble .022",,"32",,,
"2617-22-10","Banda BLACK UL10 con Tubo Black Duo Roth UL Doble .022",,"22",,,
"2617-22-11","Banda BLACK UL11 con Tubo Black Duo Roth UL Doble .022",,"18",,,
"2617-22-12","Banda BLACK UL12 con Tubo Black Duo Roth UL Doble .022",,"21",,,
"2617-22-13","Banda BLACK UL13 con Tubo Black Duo Roth UL Doble .022",,"17",,,
"2617-22-14","Banda BLACK UL14 con Tubo Black Duo Roth UL Doble .022",,"10",,,
"2617-22-15","Banda BLACK UL15 con Tubo Black Duo Roth UL Doble .022",,"8",,,
"2617-22-16","Banda BLACK UL16 con Tubo Black Duo Roth UL Doble .022",,"9",,,
"2617-22-17","Banda BLACK UL17 con Tubo Black Duo Roth UL Doble .022",,"8",,,
"2617-22-18","Banda BLACK UL18 con Tubo Black Duo Roth UL Doble .022",,"1",,,
"2617-22-19","Banda BLACK UL19 con Tubo Black Duo Roth UL Doble .022",,"7",,,
"2617-22-20","Banda BLACK UL20 con Tubo Black Duo Roth UL Doble .022",,"6",,,
"2617-22-21","Banda BLACK UL21 con Tubo Black Duo Roth UL Doble .022",,"7",,,
"2617-22-22","Banda BLACK UL22 con Tubo Black Duo Roth UL Doble .022",,"5",,,
"2617-22-23","Banda BLACK UL23 con Tubo Black Duo Roth UL Doble .022",,"9",,,
"2617-22-24","Banda BLACK UL24 con Tubo Black Duo Roth UL Doble .022",,"11",,,
"2617-22-25","Banda BLACK UL25 con Tubo Black Duo Roth UL Doble .022",,"15",,,
"2617-22-26","Banda BLACK UL26 con Tubo Black Duo Roth UL Doble .022",,"28",,,
"2617-22-27","Banda BLACK UL27 con Tubo Black Duo Roth UL Doble .022",,"23",,,
"2617-22-28","Banda BLACK UL28 con Tubo Black Duo Roth UL Doble .022",,"41",,,
"2617-22-29","Banda BLACK UL29 con Tubo Black Duo Roth UL Doble .022",,"33",,,
"2617-22-30","Banda BLACK UL30 con Tubo Black Duo Roth UL Doble .022",,"41",,,
"2617-22-31","Banda BLACK UL31 con Tubo Black Duo Roth UL Doble .022",,"58",,,
"2617-22-32","Banda BLACK UL32 con Tubo Black Duo Roth UL Doble .022",,"53",,,
"2618-32-01","Banda BLACK LR1 con Tubo Black Duo Roth LR Sencillo .022",,"47",,,
"2618-32-02","Banda BLACK LR2 con Tubo Black Duo Roth LR Sencillo .022",,"48",,,
"2618-32-03","Banda BLACK LR3 con Tubo Black Duo Roth LR Sencillo .022",,"44",,,
"2618-32-04","Banda BLACK LR4 con Tubo Black Duo Roth LR Sencillo .022",,"46",,,
"2618-32-05","Banda BLACK LR5 con Tubo Black Duo Roth LR Sencillo .022",,"48",,,
"2618-32-06","Banda BLACK LR6 con Tubo Black Duo Roth LR Sencillo .022",,"44",,,
"2618-32-07","Banda BLACK LR7 con Tubo Black Duo Roth LR Sencillo .022",,"47",,,
"2618-32-08","Banda BLACK LR8 con Tubo Black Duo Roth LR Sencillo .022",,"41",,,
"2618-32-09","Banda BLACK LR9 con Tubo Black Duo Roth LR Sencillo .022",,"25",,,
"2618-32-10","Banda BLACK LR10 con Tubo Black Duo Roth LR Sencillo .022",,"24",,,
"2618-32-11","Banda BLACK LR11 con Tubo Black Duo Roth LR Sencillo .022",,"19",,,
"2618-32-12","Banda BLACK LR12 con Tubo Black Duo Roth LR Sencillo .022",,"16",,,
"2618-32-13","Banda BLACK LR13 con Tubo Black Duo Roth LR Sencillo .022",,"15",,,
"2618-32-14","Banda BLACK LR14 con Tubo Black Duo Roth LR Sencillo .022",,"11",,,
"2618-32-15","Banda BLACK LR15 con Tubo Black Duo Roth LR Sencillo .022",,"15",,,
"2618-32-16","Banda BLACK LR16 con Tubo Black Duo Roth LR Sencillo .022",,"3",,,
"2618-32-17","Banda BLACK LR17 con Tubo Black Duo Roth LR Sencillo .022",,"1",,,
"2618-32-19","Banda BLACK LR19 con Tubo Black Duo Roth LR Sencillo .022",,"2",,,
"2618-32-20","Banda BLACK LR20 con Tubo Black Duo Roth LR Sencillo .022",,"2",,,
"2618-32-22","Banda BLACK LR22 con Tubo Black Duo Roth LR Sencillo .022",,"9",,,
"2618-32-23","Banda BLACK LR23 con Tubo Black Duo Roth LR Sencillo .022",,"9",,,
"2618-32-24","Banda BLACK LR24 con Tubo Black Duo Roth LR Sencillo .022",,"5",,,
"2618-32-25","Banda BLACK LR25 con Tubo Black Duo Roth LR Sencillo .022",,"18",,,
"2618-32-26","Banda BLACK LR26 con Tubo Black Duo Roth LR Sencillo .022",,"18",,,
"2618-32-27","Banda BLACK LR27 con Tubo Black Duo Roth LR Sencillo .022",,"33",,,
"2618-32-28","Banda BLACK LR28 con Tubo Black Duo Roth LR Sencillo .022",,"40",,,
"2618-32-29","Banda BLACK LR29 con Tubo Black Duo Roth LR Sencillo .022",,"22",,,
"2618-32-30","Banda BLACK LR30 con Tubo Black Duo Roth LR Sencillo .022",,"20",,,
"2618-32-31","Banda BLACK LR31 con Tubo Black Duo Roth LR Sencillo .022",,"33",,,
"2618-32-32","Banda BLACK LR32 con Tubo Black Duo Roth LR Sencillo .022",,"33",,,
"2618-42-01","Banda BLACK LL1 con Tubo Black Duo Roth LL Sencillo .022",,"51",,,
"2618-42-02","Banda BLACK LL2 con Tubo Black Duo Roth LL Sencillo .022",,"51",,,
"2618-42-03","Banda BLACK LL3 con Tubo Black Duo Roth LL Sencillo .022",,"46",,,
"2618-42-04","Banda BLACK LL4 con Tubo Black Duo Roth LL Sencillo .022",,"47",,,
"2618-42-05","Banda BLACK LL5 con Tubo Black Duo Roth LL Sencillo .022",,"39",,,
"2618-42-06","Banda BLACK LL6 con Tubo Black Duo Roth LL Sencillo .022",,"39",,,
"2618-42-07","Banda BLACK LL7 con Tubo Black Duo Roth LL Sencillo .022",,"35",,,
"2618-42-08","Banda BLACK LL8 con Tubo Black Duo Roth LL Sencillo .022",,"44",,,
"2618-42-09","Banda BLACK LL9 con Tubo Black Duo Roth LL Sencillo .022",,"39",,,
"2618-42-10","Banda BLACK LL10 con Tubo Black Duo Roth LL Sencillo .022",,"24",,,
"2618-42-11","Banda BLACK LL11 con Tubo Black Duo Roth LL Sencillo .022",,"12",,,
"2618-42-12","Banda BLACK LL12 con Tubo Black Duo Roth LL Sencillo .022",,"19",,,
"2618-42-13","Banda BLACK LL13 con Tubo Black Duo Roth LL Sencillo .022",,"22",,,
"2618-42-14","Banda BLACK LL14 con Tubo Black Duo Roth LL Sencillo .022",,"17",,,
"2618-42-15","Banda BLACK LL15 con Tubo Black Duo Roth LL Sencillo .022",,"7",,,
"2618-42-16","Banda BLACK LL16 con Tubo Black Duo Roth LL Sencillo .022",,"1",,,
"2618-42-19","Banda BLACK LL19 con Tubo Black Duo Roth LL Sencillo .022",,"4",,,
"2618-42-21","Banda BLACK LL21 con Tubo Black Duo Roth LL Sencillo .022",,"1",,,
"2618-42-22","Banda BLACK LL22 con Tubo Black Duo Roth LL Sencillo .022",,"9",,,
"2618-42-23","Banda BLACK LL23 con Tubo Black Duo Roth LL Sencillo .022",,"7",,,
"2618-42-24","Banda BLACK LL24 con Tubo Black Duo Roth LL Sencillo .022",,"7",,,
"2618-42-25","Banda BLACK LL25 con Tubo Black Duo Roth LL Sencillo .022",,"9",,,
"2618-42-26","Banda BLACK LL26 con Tubo Black Duo Roth LL Sencillo .022",,"49",,,
"2618-42-27","Banda BLACK LL27 con Tubo Black Duo Roth LL Sencillo .022",,"38",,,
"2618-42-28","Banda BLACK LL28 con Tubo Black Duo Roth LL Sencillo .022",,"30",,,
"2618-42-29","Banda BLACK LL29 con Tubo Black Duo Roth LL Sencillo .022",,"11",,,
"2618-42-30","Banda BLACK LL30 con Tubo Black Duo Roth LL Sencillo .022",,"28",,,
"2618-42-31","Banda BLACK LL31 con Tubo Black Duo Roth LL Sencillo .022",,"43",,,
"2618-42-32","Banda BLACK LL32 con Tubo Black Duo Roth LL Sencillo .022",,"42",,,
"2622-22","Arco de acero inoxidable de doble llave (DKL) Borgatta .016x.022 inferior 22 mm 1 pieza",,"44",,,
"2622-24","Arco de acero inoxidable de doble llave (DKL) Borgatta .016x.022 inferior 24 mm 1 pieza",,"20",,,
"2622-26","Arco de acero inoxidable de doble llave (DKL) Borgatta .016x.022 inferior 26 mm 1 pieza",,"1",,,
"2622-28","Arco de acero inoxidable de doble llave (DKL) Borgatta .016x.022 inferior 28 mm 1 pieza",,"33",,,
"2622-30","Arco de acero inoxidable de doble llave (DKL) Borgatta .016x.022 inferior 30 mm 1 pieza",,"108",,,
"2622-32","Arco de acero inoxidable de doble llave (DKL) Borgatta .016x.022 inferior 32 mm 1 pieza",,"1",,,
"2622-34","Arco de acero inoxidable de doble llave (DKL) Borgatta .016x.022 superior 34 mm 1 pieza",,"8",,,
"2622-36","Arco de acero inoxidable de doble llave (DKL) Borgatta .016x.022 superior 36 mm 1 pieza",,"1",,,
"2622-38","Arco de acero inoxidable de doble llave (DKL) Borgatta .016x.022 superior 38 mm 1 pieza",,"1",,,
