"Valuación de Inventarios","0005-ABCK","DENTAL TRADE",
"Artículo","Descripción","Existencias",,,
"90-045-3UL3","Pieza de bracket Black Duo Roth c/g .022 UL3",,"3510",,,
"90-045-3UL45","Pieza de bracket Black Duo Roth c/g .022 UL45",,"100",,,
"90-045-3UR3","Pieza de bracket Black Duo Roth c/g .022 UR3",,"3660",,,
"90-045-3UR45","Pieza de bracket Black Duo Roth c/g .022 UR45",,"30",,,
"90-045-5LL12","Pieza de bracket Black Duo Roth s/g .022 LL12",,"8800",,,
"90-045-5LR12","Pieza de bracket Black Duo Roth s/g .022 LR12",,"3800",,,
"90-045-5UL1","Pieza de bracket Black Duo Roth s/g .022 UL1",,"6850",,,
"90-045-5UL2","Pieza de bracket Black Duo Roth s/g .022 UL2",,"2910",,,
"90-045-5UR1","Pieza de bracket Black Duo Roth s/g .022 UR1",,"6100",,,
"90-045-5UR2","Pieza de bracket Black Duo Roth s/g .022 UR2",,"100",,,
"90-047-01-G","Juego de bkts. Black Duo Roth Súper Torque c/g.345 .022",,"500",,,
"90-047-3LL3","Pieza de bkt. Black Duo Roth Súper Torque c/g .022 LL3",,"1400",,,
"90-047-3LL4","Pieza de bkt. Black Duo Roth Súper Torque c/g .022 LL4",,"2900",,,
"90-047-3LL5","Pieza de bkt. Black Duo Roth Súper Torque c/g .022 LL5",,"670",,,
"90-047-3LR3","Pieza de bkt. Black Duo Roth Súper Torque c/g .022 LR3",,"900",,,
"90-047-3LR4","Pieza de bkt. Black Duo Roth Súper Torque c/g .022 LR4",,"2900",,,
"90-047-3LR5","Pieza de bkt. Black Duo Roth Súper Torque c/g .022 LR5",,"2850",,,
"90-047-3UL45","Pieza de bkt. Black Duo Roth Súper Torque c/g .022 UL45",,"3850",,,
"90-047-3UR45","Pieza de bkt. Black Duo Roth Súper Torque c/g .022 UR45",,"3830",,,
"90-047-5LL12","Pieza de bkt. Black Duo Roth Súper Torque s/g .022 LL12",,"3110",,,
"90-047-5LR12","Pieza de bkt. Black Duo Roth Súper Torque s/g .022 LR12",,"3200",,,
"90-047-5UL1","Pieza de bkt. Black Duo Roth Súper Torque s/g .022 UL1",,"1160",,,
"90-047-5UL2","Pieza de bkt. Black Duo Roth Súper Torque s/g .022 UL2",,"3030",,,
"90-047-5UR1","Pieza de bkt. Black Duo Roth Súper Torque s/g .022 UR1",,"1210",,,
"90-047-5UR2","Pieza de bkt. Black Duo Roth Súper Torque s/g .022 UR2",,"30",,,
"90-055-01-G","Juego de bkts. Black Duo "Mini" Roth c/g.345 .022",,"300",,,
"90-063-00-G","Juego de bkts. B-Action MBT c/g.3 .022",,"400",,,
"90-069-01-G","Juego de bkts. X-pression "R" Roth Mini c/g.345 .022",,"50",,,
"90-075-01-G","Juego de bkts. Black Duo "C" Roth c/g.345 .022",,"6",,,
"90-079-01","X-pression Smile System",,"3",,,
"90-079-01-G","Juego de bkts. X-pression Smile System c/g.345 .022",,"1048",,,
"90-079-3LL3","Pieza de bkt. X-pression Smile System .022 c/g LL3",,"81",,,
"90-079-3LL4","Pieza de bkt. X-pression Smile System .022 c/g LL4",,"151",,,
"90-079-3LL5","Pieza de bkt. X-pression Smile System .022 c/g LL5",,"161",,,
"90-079-3LR3","Pieza de bkt. X-pression Smile System .022 c/g LR3",,"41",,,
"90-079-3LR4","Pieza de bkt. X-pression Smile System .022 c/g LR4",,"201",,,
"90-079-3LR5","Pieza de bkt. X-pression Smile System .022 c/g LR5",,"161",,,
"90-079-3UL3","Pieza de bkt. X-pression Smile System .022 c/g UL3",,"71",,,
"90-079-3UL45","Pieza de bkt. X-pression Smile System .022 c/g UL45",,"182",,,
"90-079-3UR3","Pieza de bkt. X-pression Smile System .022 c/g UR3",,"111",,,
"90-079-3UR45","Pieza de bkt. X-pression Smile System .022 c/g UR45",,"62",,,
"90-079-5LL12","Pieza de bkt. X-pression Smile System .022 s/g L12",,"160",,,
"90-079-5LR12","Pieza de bkt. X-pression Smile System .022 s/g L12",,"24",,,
"90-079-5UL1","Pieza de bkt. X-pression Smile System .022 s/g UL1",,"21",,,
"90-079-5UL2","Pieza de bkt. X-pression Smile System .022 s/g UL2",,"26",,,
"90-079-5UR1","Pieza de bkt. X-pression Smile System .022 s/g UR1",,"11",,,
"90-079-5UR2","Pieza de bkt. X-pression Smile System .022 s/g UR2",,"11",,,
"90-080-01-G","Juego de bkts. Action Mini Roth c/g.345 .018",,"200",,,
"90-081-01-G","Juego de bkts. Action Mini Roth c/g.345 .022",,"3200",,,
"90-081-3LL3","Pieza de bkt. Action Mini Roth c/g .022 LL3",,"50",,,
"90-081-3LR3","Pieza de bkt. Action Mini Roth c/g .022 LR3",,"50",,,
"90-081-3LR4","Pieza de bkt. Action Mini Roth c/g .022 LR4",,"50",,,
"90-085-01","X-pression C Roth",,"1",,,
"90-085-01-G","Juego de bkts. X-pression "C" Roth c/g.345 .022",,"96",,,
"90-089-01-G","Juego de bkts. X-pression Smile System "C" c/g.345 .022",,"221",,,
"90-089-3LL3","Pieza de bkt. X-pression Smile System "C" .022 c/g LL3",,"33",,,
"90-089-3LL4","Pieza de bkt. X-pression Smile System "C" .022 c/g LL4",,"73",,,
"90-089-3LL5","Pieza de bkt. X-pression Smile System "C" .022 c/g LL5",,"83",,,
"90-089-3LR3","Pieza de bkt. X-pression Smile System "C" .022 c/g LR3",,"173",,,
"90-089-3LR4","Pieza de bkt. X-pression Smile System "C" .022 c/g LR4",,"93",,,
"90-089-3LR5","Pieza de bkt. X-pression Smile System "C" .022 c/g LR5",,"83",,,
"90-089-3UL3","Pieza de bkt. X-pression Smile System "C" .022 c/g UL3",,"33",,,
"90-089-3UL45","Pieza de bkt. X-pression Smile System "C" .022 c/g UL45",,"45",,,
"90-089-3UR3","Pieza de bkt. X-pression Smile System "C" .022 c/g UR3",,"33",,,
"90-089-3UR45","Pieza de bkt. X-pression Smile System "C" .022 c/g UR45",,"1206",,,
"90-089-5L12","Pieza de bkt. X-pression Smile System "C" .022 s/g L12",,"117",,,
"90-089-5UL1","Pieza de bkt. X-pression Smile System "C" .022 s/g UL1",,"33",,,
"90-089-5UL2","Pieza de bkt. X-pression Smile System "C" .022 s/g UL2",,"33",,,
"90-089-5UR1","Pieza de bkt. X-pression Smile System "C" .022 s/g UR1",,"33",,,
"90-089-5UR2","Pieza de bkt. X-pression Smile System "C" .022 s/g UR2",,"33",,,
"A-W-BM02181801","Arcos Borgatta .018x.018 superior",,"4152.4",,,
"A-W-BM02181802","Arcos Borgatta .018x.018 inferior",,"2462.5",,,
"A-W-BM02182502","Arcos Borgatta .018x.025 inferior",,,,,
"A-W-BM02192501","Arcos Borgatta .019x.025 superior",,"281.4",,,
"A-W-BM02192502","Arcos Borgatta .019x.025 inferior",,"281.1",,,
"A-W-BM02202001","Arcos Borgatta .020x.020 superior",,"6447.1",,,
"A-W-BM02202002","Arcos Borgatta .020x.020 inferior",,"6481.8",,,
"A-W-BM09172501","Arcos de NITI Bio-Memalloy Damon .017x.025 superior c/10 piezas",,"0.1",,,
"A-W-BM09172502","Arcos de NITI Bio-Memalloy Damon .017x.025 inferior c/10 piezas",,"0.1",,,
"A-W-BM09181801","Arcos de NITI Bio-Memalloy Damon .018x.018 superior c/10 piezas",,"0.1",,,
"A-W-BM09181802","Arcos de NITI Bio-Memalloy Damon .018x.018 inferior c/10 piezas",,"0.1",,,
"A-W-BM09182501","Arcos de NITI Bio-Memalloy Damon .018x.025 superior c/10 piezas",,"0.1",,,
"A-W-BM09182502","Arcos de NITI Bio-Memalloy Damon .018x.025 inferior c/10 piezas",,"0.1",,,
"A-W-BM09202001","Arcos de NITI Bio-Memalloy Damon .020x.020 superior c/10 piezas",,"0.1",,,
"A-W-BM09202002","Arcos de NITI Bio-Memalloy Damon .020x.020 inferior c/10 piezas",,"0.1",,,
"A-W-ME021401","Arcos Borgatta .014 superior",,"337.5",,,
"A-W-ME021402","Arcos Borgatta .014 inferior",,"262.8",,,
"A-W-ME021602","Arcos Borgatta .016 inferior",,,,,
"A-W-ME021801","Arcos Borgatta .018 superior",,"454",,,
"A-W-ME021802","Arcos Borgatta .018 inferior",,"718",,,
"A-W-ME091401","Arcos de NITI Memalloy Damon .014 superior c/10 piezas",,"0.2",,,
"A-W-ME091402","Arcos de NITI Memalloy Damon .014 inferior c/10 piezas",,"0.2",,,
"A-W-SS09192501","Arcos de acero inoxidable Damon .019x.025 superior c/10 piezas",,"90.1",,,
"A-W-SS09192502","Arcos de acero inoxidable Damon .019x.025 inferior c/10 piezas",,"90.1",,,
"A-W-TM02202001","Arcos Borgatta/OD-2729",,"39362",,,
"A-W-TM02202002","Arcos Borgatta/OD-2729",,"39374",,,
"E-610-122-G","Brackets Ortodonticos MBT c/g.345 .022 (Granel)",,"2150",,,
"E-610-123-G","Juego de bkts. Borgatta Mini MBT c/g.345 .022 (IMD)",,"94",,,
"E-621-112","Tubos Borgatta/OD-2764",,"1062",,,
"E-621-122","Tubos Borgatta/OD-2764",,"1036",,,
"E-621-132","Tubos Borgatta/OD-2764",,"1042",,,
"E-621-142","Tubos Borgatta/OD-2764",,"1027",,,
"E-621-152","Tubo Borgatta MBT UR sencillos no convertibles p/7 c/malla .022",,"1020",,,
"E-621-162","Tubo Borgatta MBT UL sencillos no convertibles p/7 c/malla .022",,"1019",,,
"E-621-172","Tubo Borgatta MBT LR sencillos no convertibles p/7 c/malla .022",,"1059",,,
"E-621-182","Tubo Borgatta MBT LL sencillos no convertibles p/7 c/malla .022",,"1045",,,
"J02-511-11","Arcos Borgatta/OD-2729",,,,,
"J02-511-13","Arcos Borgatta/OD-2729",,,,,
"J02-511-61","Arcos Borgatta/OD-2729",,,,,
"J02-511-63","Arcos Borgatta/OD-2729",,,,,
"J02-528-07","Arcos Borgatta/OD-2729",,,,,
"J02-528-57","Arcos Borgatta/OD-2729",,,,,
"WEBTSLL1925","Arco TMA Borgatta .019X.025  inferior 1 pieza",,"1",,,
"WEBTSLU1925","Arco TMA Borgatta .019X.025  superior 1 pieza",,"1",,,
"WESSSLL2020","Arco de acero inoxidable Borgatta .020X.020  inferior 1 pieza",,"51",,,
"WESSSLU2020","Arco de acero inoxidable Borgatta .020X.020  superior 1 pieza",,"51",,,
"Total
","
","1601934.4","
","
",
"Viernes, 15 de Noviembre de 2024 (08:19 am)","Página 1",
