"Valuación de Inventarios","0002-APROD","DENTAL TRADE",
"Artículo","Descripción","Existencias",,,
"500-028-RC","Retractor de labios transparente c/60 piezas (redondo)",,"6",,,
"500-030-RC","Retractor de labios y mejillas azul c/60 piezas (redondo)",,"6",,,
"500-031-1","High pull cervical c/módulo de seguridad color rosa",,"75",,,
"68-362-09-P","Tubo Black Roth LR sencillo convertible c/malla .022 1 pieza",,"10",,,
"68-462-09-P","Tubo Black Roth LL sencillo convertible c/malla .022 1 pieza",,"20",,,
"68-472-80-P","Tubo Black Duo Roth LL sencillo no convertible p/7 c/malla .022 1 pieza",,"20",,,
"69-172-09-P","Tubo Black Roth UR sencillo no convertible .022 1 pieza",,"1400",,,
"69-262-07-P","Tubo Black Roth UL triples convertibles p/soldar .022 1 pieza",,"1300",,,
"69-262-80-P","Tubo Black Duo Roth UL triple convertible p/soldar .022 1 pieza",,"450",,,
"7011-R","Ortho Aligner KIDS alineador etapa 1 rígido",,"416",,,
"7012-R","Ortho Aligner KIDS alineador etapa 1 flexible",,"287",,,
"7021-R","Ortho Aligner JUNIOR alineador etapa 2 rígido",,"155",,,
"7022-R","Ortho Aligner JUNIOR alineador etapa 2 flexible",,"41",,,
"7031-R","Ortho Aligner YOUTH alineador etapa 3 rígido",,"316",,,
"7032-R","Ortho Aligner YOUTH alineador etapa 3 flexible",,"61",,,
"71-544-P","Tubos Glint Roth UR sencillos no convertible c/malla .018 1 pieza",,"5",,,
"71-545-P","Tubos Glint Roth UL sencillos no convertible c/malla .018 1 pieza",,"8",,,
"71-547-P","Tubos Glint Roth LL sencillos no convertible c/malla .018 1 pieza",,"36",,,
"71-644-P","Tubos Glint Roth UR sencillos no convertibles c/malla .022 1 pieza",,"3181",,,
"71-645-P","Tubos Glint Roth UL sencillos no convertibles c/malla .022 1 pieza",,"3085",,,
"71-646-P","Tubos Glint Roth LR sencillos no convertibles c/malla .022 1 pieza",,"3084",,,
"71-647-P","Tubos Glint Roth LL sencillos no convertibles c/malla .022 1 pieza",,"3082",,,
"71-744-P","Tubos Glint Roth UR sencillos no convertibles p/7 c/malla .018 1 pieza",,"200",,,
"71-745-P","Tubos Glint Roth UL sencillos no convertibles p/7 c/malla .018 1 pieza",,"4",,,
"71-746-P","Tubos Glint Roth LR sencillos no convertibles p/7 c/malla .018 1 pieza",,"202",,,
"71-844-P","Tubos Glint Roth UR sencillos no convertibles p/7 c/malla .022 1 pieza",,"4026",,,
"71-845-P","Tubos Glint Roth UL sencillos no convertibles p/7 c/malla .022 1 pieza",,"3049",,,
"71-846-P","Tubos Glint Roth LR sencillos no convertibles p/7 c/malla .022 1 pieza",,"3013",,,
"71-847-P","Tubos Glint Roth LL sencillos no convertibles p/7 c/malla .022 1 pieza",,"3008",,,
"800-10-P","Acrílico en polvo color violeta",,"6",,,
"800-4-P","Acrílico en polvo color naranja",,"6",,,
"800-5-P","Acrílico en polvo color transparente",,"4",,,
"800-6-P","Acrílico en polvo color verde limón",,"0.01",,,
"800-7-P","Acrílico en polvo color verde",,,,,
"800-8-P","Acrílico en polvo color rosa",,"7",,,
"80-401-RC","Módulos elásticos en stick Dentalastic iLine color morado cristal",,"4000",,,
"80-402-RC","Módulos elásticos en stick Dentalastic iLine color baby blue",,"32990",,,
"80-403-RC","Módulos elásticos en stick Dentalastic iLine color azul cielo",,"51750",,,
"80-404-RC","Módulos elásticos en stick Dentalastic iLine color negro",,"203570",,,
"80-405-RC","Módulos elásticos en stick Dentalastic iLine color verde primavera",,"39740",,,
"80-406-RC","Módulos elásticos en stick Dentalastic iLine color tinto metalico",,"40540",,,
"80-407-RC","Módulos elásticos en stick Dentalastic iLine color azul metalico",,"46140",,,
"80-408-RC","Módulos elásticos en stick Dentalastic iLine color verde metálico",,"36180",,,
"80-409-RC","Módulos elásticos en stick Dentalastic iLine color naranja",,"2000",,,
"80-410-RC","Módulos elásticos en stick Dentalastic iLine color vainilla",,"2000",,,
"80-411-RC","Módulos elásticos en stick Dentalastic iLine color blanco",,"46040",,,
"80-412-RC","Módulos elásticos en stick Dentalastic iLine color transparente",,"13040",,,
"80-413-RC","Módulos elásticos en stick Dentalastic iLine color plata",,"109990",,,
"80-414-RC","Módulos elásticos en stick Dentalastic iLine color dorado",,"2000",,,
"80-415-RC","Módulos elásticos en stick Dentalastic iLine color uva metalico",,"40540",,,
"80-416-RC","Módulos elásticos en stick Dentalastic iLine color verde pastel",,"42940",,,
"80-417-RC","Módulos elásticos en stick Dentalastic iLine color amarillo",,"2000",,,
"80-418-RC","Módulos elásticos en stick Dentalastic iLine color lavanda",,"43770",,,
"80-419-RC","Módulos elásticos en stick Dentalastic iLine color violeta",,"36380",,,
"80-420-RC","Módulos elásticos en stick Dentalastic iLine color fiusha",,"40910",,,
"80-421-RC","Módulos elásticos en stick Dentalastic iLine color rosa pastel",,"36280",,,
"80-422-RC","Módulos elásticos en stick Dentalastic iLine color rosa mexicano",,"51940",,,
"80-423-RC","Módulos elásticos en stick Dentalastic iLine color rojo cristal",,"2000",,,
"80-424-RC","Módulos elásticos en stick Dentalastic iLine color rojo obscuro",,"39180",,,
"80-425-RC","Módulos elásticos en stick Dentalastic iLine color verde bosque",,"43590",,,
"80-426-RC","Módulos elásticos en stick Dentalastic iLine color turquesa",,"45340",,,
"80-427-RC","Módulos elásticos en stick Dentalastic iLine color azul lago",,"43590",,,
"80-428-RC","Módulos elásticos en stick Dentalastic iLine color ciruela",,"42520",,,
"80-429-RC","Módulos elásticos en stick Dentalastic iLine color azul ultramar",,"46440",,,
"80-430-RC","Módulos elásticos en stick Dentalastic iLine color azul prusia",,"51340",,,
"80-431-RC","Módulos elásticos en stick Dentalastic iLine color morado pizarra",,"43840",,,
"80-432-RC","Módulos elásticos en stick Dentalastic iLine color verde neón",,"47290",,,
"80-433-RC","Módulos elásticos en stick Dentalastic iLine color azul celeste",,"46190",,,
"80-434-RC","Módulos elásticos en stick Dentalastic iLine color iris",,"35700",,,
"80-435-RC","Módulos elásticos en stick Dentalastic iLine color rosa neón",,"54940",,,
"80-436-RC","Módulos elásticos en stick Dentalastic iLine color naranja neón",,"39740",,,
"80-437-RC","Módulos elásticos en stick Dentalastic iLine color azul cristal",,"4000",,,
"80-438-RC","Módulos elásticos en stick Dentalastic iLine color rosa cristal",,"4000",,,
"80-439-RC","Módulos elásticos en stick Dentalastic iLine color amarillo cristal",,"4000",,,
"80-440-RC","Módulos elásticos en stick Dentalastic iLine color ice",,"4000",,,
"80-561-RC","Tornillo Hyrax 11 mm",,"1000",,,
"80-564-RC","Tornillo Hyrax 9 mm",,"1000",,,
"80-565-RC","Tornillo Hyrax 13 mm",,"1000",,,
"80-566","Instrumento para doblar hyrax Iline color verde",,"15000",,,
"900-00000-T","Tapa para caja multiusos (universal)",,"1643",,,
"903-00002-AZ","Caja plástica Borgatta Advance",,"450",,,
"903-00003-AM","Caja plástica con suaje de foami para implantes ELITE",,"465",,,
"903-00004-V","Caja plástica con suaje de foami para implantes QUICK PLUS",,"54",,,
"903-00005-V","Caja plástica con suaje de 15 cavidades para kit de módulos en stick",,"1704",,,
"903-00006-PT","Caja plástica color plata con suaje de foami para Kit de piezas de mano",,"225",,,
"903-00007-B","Caja plástica color negro para Kit de Striping",,"404",,,
"93-925-00","Arco con poste Borgatta Black .019x.025 superior 32mm c/10 piezas",,"20",,,
"93-925-01","Arco con poste Borgatta Black .019x.025 superior 36 mm c/10 piezas",,"20",,,
"93-925-02","Arco con poste Borgatta Black .019x.025 superior 38 mm c/10 piezas",,"9",,,
"93-925-04","Arco con poste Borgatta Black .019x.025 superior 40mm c/10 piezas",,"10",,,
"93-925-06","Arco con poste Borgatta Black .019x.025 superior 34mm c/10 piezas",,"10",,,
"93-925-14","Arco con poste Borgatta Black .019x.025 inferior 30mm c/10 piezas",,"10",,,
"97-243-02","Pin para DynaLink 1 Pieza",,"8",,,
"97-243-12","Juego de platinas magnéticas para articulador AD2",,"475",,,
"97-248-00","Articulador AD2 con sistema magnético y mesa de KOIS",,"1",,,
"E-8038","Etiqueta para elásticos (azul) 37x14",,"150000",,,
"E-8039","Etiqueta para elásticos (roja) 37x14",,"100000",,,
"E-8040","Etiqueta para elásticos (amarilla) 37x14",,"60000",,,
"E-8041","Etiqueta para elásticos (azul) 64x37",,"30000",,,
"E-8042","Etiqueta para elásticos (roja) 64x37",,"24000",,,
"E-8043","Etiqueta para elásticos (amarilla) 64x37",,"11000",,,
"E-8044","Etiqueta para lijas IPR (verde) 37x14",,"4000",,,
"E-8045","Etiqueta para lijas IPR (rosa) 37x14",,"4000",,,
"E-8046","Etiqueta para tiras de lijas IPR (blanca) 65x15",,"6000",,,
"E-8047","Etiqueta para tirtas de lijas IPR (blanca) 37*14",,"2000",,,
"KIT300-90","Kit de pinzas CA",,"1",,,
"MB1.6-11-02","Micro tornillos de anclaje temporal Elite 11x1.6 mm",,"4.5",,,
"MB1.6-12A-025","Micro tornillos de anclaje temporal Elite 12x1.6 mm A",,"1",,,
"MB1.6-12B-04","Micro tornillos de anclaje temporal Elite 12x1.6 mm B",,"20",,,
"MB2.0-05-10","Aditamento para pieza de mano de baja",,"100",,,
"MB3.0-1003","Aditamento corto para maneral",,"43",,,
"MB3.0-1004","Aditamento largo para maneral",,"42",,,
"MB3.0-1005","Maneral",,"26",,,
"MIP-1608","Micro tornillos de anclaje temporal Quick Plus 14mm length, 1.6mm diameter",,"2.5",,,
"MIP-1609","Micro tornillos de anclaje temporal Quick Plus 13mm length, 1.6mm diameter",,"24",,,
"MIP-1610","Micro tornillos de anclaje temporal Quick Plus 15mm length, 1.6mm diameter",,"57",,,
"MIP-1610B","Micro tornillos de anclaje temporal Quick Plus 17mm length, 1.6mm diameter",,"64.5",,,
"MIP-2007","Micro tornillos de anclaje temporal Quick Plus 10mm length, 2mm diameter",,"14.5",,,
"MIP-2010","Micro tornillos de anclaje temporal Quick Plus 17mm length, 2mm diameter",,"33",,,
"MIP-3000","Maneral con aditamento para Quick Plus",,"6",,,
"PETG-040","Lamina de PETG .040 medida 1.22 x 2.44 mts",,"0",,,
"PETG-060","Lamina de PETG .060 medida 1.22 x 2.44 mts",,"0",,,
"PETG-080","Lamina de PETG .080 medida 1.22 x 2.44 mts",,,,,
"S-300-515","Glorificador en acrilico con lampara  Led",,"500",,,
"Total
","
","5082262.07","
","
",
"Viernes, 15 de Noviembre de 2024 (08:14 am)","Página 1",
